Red,Green,Blue,Clear,Distance_mm,Timestamp
120,89,86,179,34,2026-01-21 10:39:45.657
173,143,139,233,37,2026-01-21 10:39:45.800
150,120,116,208,36,2026-01-21 10:39:45.943
122,90,87,180,34,2026-01-21 10:39:46.086
174,142,138,230,36,2026-01-21 10:39:46.229
156,123,120,210,36,2026-01-21 10:39:46.372
125,91,89,178,33,2026-01-21 10:39:46.515
179,145,141,232,32,2026-01-21 10:39:46.658
172,136,133,227,32,2026-01-21 10:39:46.801
139,101,99,198,31,2026-01-21 10:39:46.944
210,172,167,270,24,2026-01-21 10:39:47.087
205,164,159,268,23,2026-01-21 10:39:47.230
161,114,110,230,25,2026-01-21 10:39:47.373
244,203,196,314,23,2026-01-21 10:39:47.516
215,179,172,291,25,2026-01-21 10:39:47.659
157,116,112,228,25,2026-01-21 10:39:47.802
229,191,184,294,23,2026-01-21 10:39:47.945
240,197,190,308,23,2026-01-21 10:39:48.088
156,114,111,215,26,2026-01-21 10:39:48.231
207,167,162,260,27,2026-01-21 10:39:48.374
202,160,155,253,27,2026-01-21 10:39:48.517
158,115,112,207,30,2026-01-21 10:39:48.660
199,157,154,245,26,2026-01-21 10:39:48.803
203,160,156,251,24,2026-01-21 10:39:48.946
176,129,126,229,22,2026-01-21 10:39:49.089
244,197,191,298,24,2026-01-21 10:39:49.232
219,175,170,268,31,2026-01-21 10:39:49.375
151,112,110,192,32,2026-01-21 10:39:49.518
177,81,80,217,30,2026-01-21 10:39:49.661
181,142,140,223,33,2026-01-21 10:39:49.804
155,116,114,196,35,2026-01-21 10:39:49.947
118,80,79,157,38,2026-01-21 10:39:50.090
160,125,123,198,44,2026-01-21 10:39:50.233
136,103,101,175,39,2026-01-21 10:39:50.376
111,78,77,153,32,2026-01-21 10:39:50.519
167,134,131,213,28,2026-01-21 10:39:50.708
158,125,121,211,31,2026-01-21 10:39:50.805
112,80,77,164,28,2026-01-21 10:39:50.948
175,144,139,225,30,2026-01-21 10:39:51.091
165,129,126,209,28,2026-01-21 10:39:51.234
123,84,82,166,27,2026-01-21 10:39:51.377
196,158,154,239,27,2026-01-21 10:39:51.520
179,140,136,221,29,2026-01-21 10:39:51.663
131,91,89,173,29,2026-01-21 10:39:51.806
198,159,155,241,28,2026-01-21 10:39:51.949
186,146,143,230,27,2026-01-21 10:39:52.092
140,99,97,184,29,2026-01-21 10:39:52.235
197,157,153,240,29,2026-01-21 10:39:52.378
187,148,144,231,26,2026-01-21 10:39:52.521
150,108,105,197,23,2026-01-21 10:39:52.664
221,180,174,271,20,2026-01-21 10:39:52.807
248,205,198,311,24,2026-01-21 10:39:52.950
214,167,159,304,24,2026-01-21 10:39:53.093
375,328,318,477,24,2026-01-21 10:39:53.236
378,324,315,474,18,2026-01-21 10:39:53.379
219,170,163,301,20,2026-01-21 10:39:53.522
267,225,217,335,24,2026-01-21 10:39:53.665
219,179,173,273,27,2026-01-21 10:39:53.808
154,116,113,199,34,2026-01-21 10:39:53.951
115,78,77,212,35,2026-01-21 10:39:54.094
159,123,121,195,39,2026-01-21 10:39:54.237
136,100,99,170,42,2026-01-21 10:39:54.380
111,76,75,144,44,2026-01-21 10:39:54.523
143,110,108,175,46,2026-01-21 10:39:54.666
127,94,93,158,40,2026-01-21 10:39:54.809
105,72,71,137,39,2026-01-21 10:39:54.952
144,112,110,178,40,2026-01-21 10:39:55.095
132,99,98,167,35,2026-01-21 10:39:55.238
106,73,72,144,35,2026-01-21 10:39:55.381
160,128,125,200,30,2026-01-21 10:39:55.524
150,118,115,194,32,2026-01-21 10:39:55.667
108,79,76,158,28,2026-01-21 10:39:55.810
174,145,140,227,29,2026-01-21 10:39:55.953
167,136,131,220,26,2026-01-21 10:39:56.096
125,89,86,177,26,2026-01-21 10:39:56.239
216,179,173,265,24,2026-01-21 10:39:56.382
200,161,156,247,22,2026-01-21 10:39:56.525
141,100,97,189,24,2026-01-21 10:39:56.668
226,186,181,273,31,2026-01-21 10:39:56.811
170,134,131,209,29,2026-01-21 10:39:56.954
127,91,90,165,34,2026-01-21 10:39:57.097
170,135,132,208,34,2026-01-21 10:39:57.240
155,120,118,191,27,2026-01-21 10:39:57.383
148,108,105,193,26,2026-01-21 10:39:57.526
229,189,183,278,23,2026-01-21 10:39:57.669
232,190,184,282,23,2026-01-21 10:39:57.812
173,130,126,224,23,2026-01-21 10:39:57.955
220,182,176,271,25,2026-01-21 10:39:58.098
191,159,154,244,29,2026-01-21 10:39:58.241
146,115,112,202,34,2026-01-21 10:39:58.384
169,84,81,229,31,2026-01-21 10:39:58.527
170,146,142,236,30,2026-01-21 10:39:58.670
148,119,115,205,38,2026-01-21 10:39:58.813
104,75,74,148,41,2026-01-21 10:39:58.956
140,111,109,180,38,2026-01-21 10:39:59.099
129,98,96,168,42,2026-01-21 10:39:59.242
129,89,88,202,44,2026-01-21 10:39:59.385
289,167,161,467,49,2026-01-21 10:39:59.528
289,155,149,464,55,2026-01-21 10:39:59.671
284,142,136,461,53,2026-01-21 10:39:59.814
307,160,153,490,46,2026-01-21 10:39:59.957
323,168,159,530,45,2026-01-21 10:40:00.100
305,158,149,514,44,2026-01-21 10:40:00.243
318,175,166,526,48,2026-01-21 10:40:00.386
322,172,163,533,49,2026-01-21 10:40:00.529
338,171,161,560,46,2026-01-21 10:40:00.672
371,193,183,600,48,2026-01-21 10:40:00.815
361,184,175,580,50,2026-01-21 10:40:00.958
349,173,164,566,53,2026-01-21 10:40:01.101
354,182,174,565,59,2026-01-21 10:40:01.244
319,170,162,514,61,2026-01-21 10:40:01.387
311,168,160,515,64,2026-01-21 10:40:01.530
330,186,176,550,60,2026-01-21 10:40:01.673
321,196,184,558,54,2026-01-21 10:40:01.816
331,203,189,592,57,2026-01-21 10:40:01.959
360,219,205,631,54,2026-01-21 10:40:02.102
380,230,214,669,57,2026-01-21 10:40:02.245
387,229,213,685,52,2026-01-21 10:40:02.388
396,237,221,690,53,2026-01-21 10:40:02.531
409,243,227,711,46,2026-01-21 10:40:02.674
421,249,233,741,42,2026-01-21 10:40:02.817
444,270,232,776,47,2026-01-21 10:40:02.960
452,279,264,791,42,2026-01-21 10:40:03.103
446,274,259,799,40,2026-01-21 10:40:03.246
424,260,246,791,37,2026-01-21 10:40:03.389
457,305,288,843,41,2026-01-21 10:40:03.532
441,297,278,844,37,2026-01-21 10:40:03.675
409,254,239,779,34,2026-01-21 10:40:03.818
441,289,275,789,32,2026-01-21 10:40:03.961
409,250,239,712,38,2026-01-21 10:40:04.104
375,198,191,636,39,2026-01-21 10:40:04.247
417,231,224,666,45,2026-01-21 10:40:04.390
392,206,199,620,43,2026-01-21 10:40:04.533
359,179,173,572,44,2026-01-21 10:40:04.676
375,195,189,581,45,2026-01-21 10:40:04.819
365,185,179,566,44,2026-01-21 10:40:04.962
360,174,168,562,47,2026-01-21 10:40:05.105
377,190,184,579,45,2026-01-21 10:40:05.248
382,188,181,587,43,2026-01-21 10:40:05.391
394,184,177,618,45,2026-01-21 10:40:05.534
425,216,207,673,44,2026-01-21 10:40:05.677
437,232,219,723,43,2026-01-21 10:40:05.820
444,227,213,752,40,2026-01-21 10:40:05.963
497,264,248,818,41,2026-01-21 10:40:06.106
527,276,259,871,37,2026-01-21 10:40:06.249
