Red,Green,Blue,Clear,Distance_mm,Timestamp
101,140,147,265,26,2026-01-21 10:27:12.948
177,225,230,361,25,2026-01-21 10:27:13.091
174,229,236,378,22,2026-01-21 10:27:13.234
121,186,195,357,21,2026-01-21 10:27:13.377
268,348,355,537,20,2026-01-21 10:27:13.520
209,276,282,441,22,2026-01-21 10:27:13.663
118,171,179,318,23,2026-01-21 10:27:13.806
182,233,238,370,24,2026-01-21 10:27:13.949
180,234,240,378,24,2026-01-21 10:27:14.091
122,173,180,313,24,2026-01-21 10:27:14.235
181,230,235,364,25,2026-01-21 10:27:14.378
175,225,229,360,24,2026-01-21 10:27:14.521
128,179,185,322,24,2026-01-21 10:27:14.664
204,259,262,406,22,2026-01-21 10:27:14.807
184,233,235,372,23,2026-01-21 10:27:14.950
140,189,194,333,21,2026-01-21 10:27:15.093
195,244,142,383,26,2026-01-21 10:27:15.236
197,248,251,388,20,2026-01-21 10:27:15.379
188,261,268,443,22,2026-01-21 10:27:15.522
96,163,173,342,19,2026-01-21 10:27:15.664
254,323,327,490,22,2026-01-21 10:27:15.808
195,264,271,438,20,2026-01-21 10:27:15.951
95,153,162,315,26,2026-01-21 10:27:16.094
182,231,236,369,25,2026-01-21 10:27:16.237
149,196,202,333,25,2026-01-21 10:27:16.380
97,147,155,296,20,2026-01-21 10:27:16.523
203,260,266,415,18,2026-01-21 10:27:16.666
193,258,264,430,21,2026-01-21 10:27:16.809
121,190,200,382,20,2026-01-21 10:27:16.952
261,325,329,506,22,2026-01-21 10:27:17.094
219,265,267,438,22,2026-01-21 10:27:17.238
157,202,204,388,22,2026-01-21 10:27:17.380
264,317,316,500,20,2026-01-21 10:27:17.524
223,278,280,453,23,2026-01-21 10:27:17.667
132,184,188,349,23,2026-01-21 10:27:17.810
221,277,279,438,20,2026-01-21 10:27:17.953
208,270,274,437,21,2026-01-21 10:27:18.096
136,202,208,380,22,2026-01-21 10:27:18.238
227,290,292,455,22,2026-01-21 10:27:18.382
187,238,241,385,23,2026-01-21 10:27:18.525
144,208,214,379,20,2026-01-21 10:27:18.668
279,351,355,530,22,2026-01-21 10:27:18.811
230,290,291,447,24,2026-01-21 10:27:18.954
139,187,191,333,22,2026-01-21 10:27:19.097
245,307,309,468,22,2026-01-21 10:27:19.240
248,314,316,480,24,2026-01-21 10:27:19.383
144,189,191,332,27,2026-01-21 10:27:19.525
175,127,128,345,29,2026-01-21 10:27:19.669
165,202,202,325,27,2026-01-21 10:27:19.812
125,161,164,277,31,2026-01-21 10:27:19.955
84,114,119,220,34,2026-01-21 10:27:20.097
133,160,164,259,37,2026-01-21 10:27:20.241
112,139,143,236,33,2026-01-21 10:27:20.384
83,111,116,212,34,2026-01-21 10:27:20.526
137,166,170,267,31,2026-01-21 10:27:20.670
122,152,156,255,35,2026-01-21 10:27:20.813
83,115,120,223,29,2026-01-21 10:27:20.955
151,186,189,296,25,2026-01-21 10:27:21.099
147,192,197,320,22,2026-01-21 10:27:21.242
94,146,153,293,22,2026-01-21 10:27:21.384
229,292,296,447,21,2026-01-21 10:27:21.528
174,227,231,368,25,2026-01-21 10:27:21.670
92,134,139,259,23,2026-01-21 10:27:21.814
167,210,212,332,27,2026-01-21 10:27:21.956
169,218,222,351,25,2026-01-21 10:27:22.100
102,146,152,274,28,2026-01-21 10:27:22.243
171,215,219,336,27,2026-01-21 10:27:22.386
158,201,205,322,22,2026-01-21 10:27:22.528
109,154,160,283,21,2026-01-21 10:27:22.672
212,267,270,407,21,2026-01-21 10:27:22.814
213,274,279,426,24,2026-01-21 10:27:22.958
124,173,178,312,26,2026-01-21 10:27:23.100
171,216,219,343,29,2026-01-21 10:27:23.244
160,202,206,326,26,2026-01-21 10:27:23.387
122,164,170,293,26,2026-01-21 10:27:23.530
170,214,218,343,26,2026-01-21 10:27:23.673
